Company Name,Company Code
ABB LTD.,500002
AEGIS LOGIS,500003
ARE&M,500008
A.SARABHAI,500009
ANDHRA PETRO,500012
UTIQUE,500014
ARUNAHTEL,500016
BOM DYEING,500020
ASIANHOTNR,500023
ATUL LTD.,500027
ATV PROJECTS,500028
BAJAJ ELECT.,500031
BAJAJHIND,500032
FORCE MOTR,500033
BAJFINANCE,500034
BALRAM.CHINI,500038
BANCO PROD.,500039
CENTURY TEXT,500040
BANNARI AMAN,500041
BASF INDIA,500042
BATA INDIA,500043
BEML LTD,500048
BHARAT ELECT,500049
BHANSALI ENG,500052
BIHAR SPONGE,500058
BINANI IND.,500059
BIRLACABLE,500060
BLUE STAR,500067
DISA INDIA,500068
QUESTCAP,500069
BPL LTD.,500074
OAL,500078
CENTURY EXT,500083
CESC LTD.,500084
CHAMBAL FERT,500085
EXIDE IND.,500086
CIPLA LTD.,500087
DIC INDIA,500089
CRISIL LTD,500092
CGPOWER,500093
DABUR (I),500096
DALMIASUG,500097
ARVIND Ltd,500101
BHEL,500103
HIND.PETRO,500104
IFCI LTD,500106
MAHA.TELE,500108
MRPL,500109
CHENNAI PET.,500110
STATE BANK,500112
STEEL AUTH.,500113
TITAN,500114
IDBI BANK L,500116
DCW LTD.,500117
DHAMPUR SUGA,500119
DIAMINES&CHM,500120
ELANTAS,500123
DR.REDDY'S,500124
E.I.D.PAR,500125
PGHL,500126
ELEC.CASTING,500128
ESAB INDIA,500133
EPL,500135
ESTER INDUS.,500136
FGP LTD.,500142
P.H.CAPITAL,500143
FINOL. CABLE,500144
COCKERILL,500147
UFLEX LTD,500148
FOSECO INDIA,500150
GOLDEN TOB,500151
GANESH BENZO,500153
METROGLOBL,500159
GTL LTD.,500160
GODFREY PH,500163
GODREJ IND,500164
KANSAI NERO,500165
GOODRICKE,500166
GOODYEAR (I),500168
GTN INDUS,500170
GHCL LTD,500171
GFLLIMITED,500173
GUJ.LEASE,500174
HCL INFOSYS,500179
HDFC BANK,500180
HEROMOTOCO,500182
HFCL,500183
HSCL,500184
HIND.CONSTN.,500185
HIND.OIL EXP,500186
AGI,500187
HINDUS.ZI,500188
NDLVENTURE,500189
HMT LTD.,500191
PRAG BOSIMI,500192
HLVLTD,500193
I.G.PETRO,500199
IND.GLYCOLS,500201
IND.LEAS.DEV,500202
MARGO FIN,500206
INDO RAMA,500207
INFOSYS LTD,500209
INGERSOLL,500210
INTER.TRAVEL,500213
ION EXCHANGE,500214
AGRO TECH FO,500215
JAIN IRRIG,500219
JCT LTD,500223
JINDAL POLYF,500227
JSWSL,500228
UMANG DAIR,500231
KAJARIA CER.,500233
KAKATIYA CEM,500234
KALYANI STEL,500235
KANELIND,500236
WHIRLPOOL,500238
KG DENIM,500239
KINETIC ENG.,500240
KIRL.BROS.,500241
KIRL INDUS,500243
KIRL.FERROUS,500245
ENVAIN ELECT,500246
KOTAK MAH.BK,500247
KSB,500249
L.G.BALKRISH,500250
TRENT LTD.,500251
LAXMIMACH,500252
LIC HOUS.FIN,500253
LUPIN LTD.,500257
LYKA LABS,500259
RAMCOCEM,500260
HYBRIDFIN,500262
MAFATLAL IND,500264
MAH.SEAMLESS,500265
MAH.SCOOTER,500266
MAJESTIC AUT,500267
MANALI PETRO,500268
BARODA RAYON,500270
MFSL,500271
MID INDIA IN,500277
MIRC ELECT,500279
CENTURY ENKA,500280
LORDS CHLORO,500284
SPICEJET LTD,500285
MOREPEN LAB.,500288
MRF LTD.,500290
HEIDEL CEM,500292
NCC,500294
VEDL,500295
NAHAR SPG.,500296
NAT.PEROXIDE,500298
GRASIM IND.,500300
PEL,500302
NIIT LTD.,500304
JAYKAY,500306
NIRLON,500307
ONGC CORPN,500312
OIL COUNTRY,500313
ORIENT HOTEL,500314
OSWAL AGRO.,500317
INDIAN SUCRO,500319
PANYAM CEMEN,500322
RELIANCE,500325
PILITA,500327
RAYMOND,500330
PIDILITE,500331
PIX TRANS,500333
BIRLA CORPN.,500335
SURYA ROSHNI,500336
PRIME SECUR.,500337
PRSMJOHNSN,500338
RAIN,500339
AMJLAND,500343
PUN.COMMUNI.,500346
RSWM  LTD,500350
RAJSH.SUGAR,500354
RALLIS INDIA,500355
RAMANEWS,500356
RAMA PAPER,500357
RAMA PETRO,500358
RAPICUT CARB,500360
WELSPLSOL,500365
RUBFILA INT.,500367
PATANJALI,500368
SALORA INT.,500370
JINDAL SAW,500378
JK LAKSHMI,500380
SHREE CEMENT,500387
SHREE KRISHN,500388
REL INFRA,500390
TATA POWER,500400
SPMLINFRA,500402
SUNDARAM FAS,500403
SUNFLAG IRON,500404
SUPREME PET,500405
SWARAJ ENGIN,500407
TATA ELXSI,500408
ACC LTD,500410
THERMAX,500411
THIRUMALAI,500412
THOMAS COOK,500413
TIMEX GROUP,500414
TOKYO PLAST,500418
TORRENT PHAR,500420
TRANSCHEM,500422
AMBUJA CEME,500425
UTLINDS,500426
UNIPHOS ENT.,500429
VARD HOLDNG,500439
HINDALCO,500440
WEST COAS PA,500444
HIND.ORG.CHM,500449
PAS.ACRYLON,500456
KORE,500458
PROCTER &GAM,500459
MUKAND LTD.,500460
BBOX,500463
UCAL,500464
HARR.MALAYAL,500467
FEDERAL BANK,500469
TATA STEEL,500470
SKF INDIA,500472
ASHOK LEYL.,500477
CUMMINS (I),500480
TATA COMM,500483
ABBOTT (I),500488
BAJ HOLD INV,500490
BHARAT FORGE,500493
ESCORTS,500495
HIND.MOTORS,500500
LARSEN & TOU,500510
MAH & MAH,500520
BOSCH LTD,500530
BHARAT PET.,500547
SIEMENS LTD.,500550
TATA MOTORS,500570
VOLTAS LTD,500575
GREAT EASTE,500620
DEEPAK FERT.,500645
EXCEL INDUST,500650
GRWRHITECH,500655
GLAXOSMITH,500660
GUJ.NARMADA,500670
NOVARTIS,500672
SANOFI,500674
PFIZER LTD.,500680
GUJ.ST.FERT,500690
HIND UNI LT,500696
AKZOINDIA,500710
NOCIL LTD,500730
TATA CHEM.,500770
T.P.L.,500777
ZUARIIND,500780
NESTLE (I),500790
TATACONSUM,500800
ASIAN PAINTS,500820
BRITANIA IND,500825
COLGATE PALM,500830
EIH LTD.,500840
INDIAN HOTEL,500850
CASTROL,500870
ITC LTD.,500875
APOLLO TYRES,500877
CEAT LIMITED,500878
MODI RUBBER,500890
FINOLEX IND.,500940
CENTRUM CAP,501150
INDUS.INV.TR,501295
INDUS.&PRUD.,501298
TATA INVEST.,501301
PRISMX,501314
MOTOR&GEN.FI,501343
SWASTIK SAFE,501386
W.H.BRADY,501391
SHA ENG PLA,501423
BOM.BURMAH,501425
BOM.CYCLE,501430
GREAVES COTT,501455
AMALGAMATED,501622
INDIA NIVEH,501700
COAST CORP,501831
CHOWGULE ST,501833
GLOBAL OFFS,501848
ASIIL,502015
SAGAR CEM.,502090
HEMADRI CEM,502133
DECAN CEMENT,502137
MANGALAM CEM,502157
N C L IND.,502168
SAURAS.CEM.,502175
SRI DIGV CEM,502180
BORORENEW,502219
LERTHAI,502250
TRIVENI GLAS,502281
NILACHAL REF,502294
ANDPAPER,502330
BALKRISH IND,502355
ORIENT PAPER,502420
CITADEL,502445
ROLLATAINER,502448
SESHA.PAPER,502450
NATHIND,502587
VAPIENTER,502589
DCM LTD.,502820
FORBES & CO,502865
H.P.COTTON,502873
JAMSHRI,502901
KATARE SPG.,502933
KESORAM IND,502937
LAKSHMI MILL,502958
VARDH TEXT,502986
PENLAND LTD,503031
PASUPATI SPG,503092
PHOENIX MILL,503100
MARATHON NEX,503101
RAJA BAHADUR,503127
REL.CHEMOTX,503162
RUBY MILLS,503169
SIMPLEX REAL,503229
SWAN ENG,503310
VICTORIA MIL,503349
SVARAJ TRAD,503624
ZODIAC VEN,503641
VEER ENERGY,503657
SWIL,503659
TILAK,503663
KKFIN,503669
WAGEND,503675
MEDIA ONE,503685
BANSW.SYNTEX,503722
MODELLA WOOL,503772
MODIPON,503776
SHRI DINESH,503804
SRF LIMITED,503806
SIYARAM SILK,503811
SWAD.POLYTEX,503816
SHREE MFG CO,503863
BHARAT BIJLE,503960
ELPRO INTER,504000
GEE LTD,504028
HIND.RECT,504036
NIPPOBATRY,504058
ZENSAR TECH.,504067
JYOTI LTD.,504076
JSL LTD.,504080
KAYCEE IND,504084
INDOKEM LTD.,504092
PANA ENERG,504093
NELCO LTD.,504112
PERM MAGNETS,504132
HIGH ENERGY,504176
STD.BATTERY,504180
UNIV.CABLE,504212
W.S.INDUSTR.,504220
DELTON CABLE,504240
LAKSHMI ELEC,504258
MODULEX,504273
DELTAMAGNT,504286
CONFINT,504340
RELTD,504341
EMPOWER,504351
MULTI-PURPOS,504356
NYSSACORP,504378
FLOMIC,504380
KRISHNA VEN,504392
GANESH HOLDI,504397
UNI ABEX,504605
SARDA ENMIN,504614
BHAGWATI AUT,504646
BOM.WIRE ROP,504648
I BRIGHT ST,504731
IND.HUME PIP,504741
INVEST &PREC,504786
INFORMEDTEC,504810
KAIRA CAN CO,504840
ORIENTCER,504879
NATIONAL STD,504882
RATHI ST,504903
DUNCANENG,504908
SANDUMA,504918
STOVAC IND.,504959
TATA YODOGAW,504961
TINPLATE,504966
CHOLAHLDNG,504973
WELCAST,504988
AUTO AXLES,505010
AUTO COR.GOA,505036
SETCO AUTO,505075
SCOOTERS IND,505141
TALBROS AUTO,505160
ZF STEERING,505163
SMLISUZU,505192
TIL LTD.,505196
EICHER MOTOR,505200
JAINEX,505212
ALFRED HERB,505216
VELJAN,505232
DYNAMAT.TECH,505242
G.G.DANDEKAR,505250
GMM PFAUDLER,505255
KIRLOSAR PN,505283
KPT,505299
LAXMI AUTOLM,505302
MANUGRAPH IN,505324
MONOTYPE IND,505343
NESCO LTD,505355
INTEGRA ENG,505358
SEMAC,505368
TEXINFRA,505400
WENDT(INDIA),505412
RESPON IND,505509
SHYAMKAM INV,505515
MAHA CORP,505523
DOLATALGO,505526
WESTLIFE,505533
ZEE ENTER,505537
SVPGLOB,505590
SKYL MILLAR,505650
BIMETAL BEAR,505681
BHARAT GEARS,505688
BRADY MORRIS,505690
LATIMMETAL,505693
ELECON ENG,505700
DECCAN BEAR.,505703
GRAUER& WEIL,505710
HIMTEK,505712
GABRIEL(I),505714
HERC.HOISTS,505720
AQFINTECH,505725
IFB IND.LTD.,505726
SINGER INDIA,505729
INTER.COMBUS,505737
FED MOG GOE,505744
JOSTS ENG.,505750
SCHAEFFLER,505790
MIPCO SEAM.,505797
RANE HOLDIN,505800
ROLCON ENGG.,505807
SNL BEARINGS,505827
JAIPAN INDUS,505840
MANCREDIT,505850
TRF LTD.,505854
WPIL LTD.,505872
KENNAMETAL,505890
HINDHARD,505893
TRITON VALVE,505978
SUDAL INDUS,506003
PRAKASH IND.,506022
ARSHIYA,506074
GRIND NORTON,506076
STANROSE MAF,506105
GENESYS INT.,506109
PANKAJPIYUS,506122
PARNAXLAB,506128
INTELL CAP,506134
VISAGAR POL,506146
KANANI IND,506184
GCKL,506186
ARIH SUPER,506194
BLISSGVS PH,506197
STYRENIX,506222
ALEMBIC LTD.,506235
AMINES&PLAST,506248
ANUH PHARMA,506260
MODISONLTD,506261
BAYER CROP,506285
CHEMO PHARMA,506365
HEUBACHIND,506390
COROM INTER,506395
DEEPAK NITR.,506401
DMCC,506405
FERMENTA,506414
GOCLCORP,506480
JAYSHRI CHEM,506520
KANORIA CHEM,506525
KELTECH EN.,506528
NITTA GELA,506532
M.P.AGRO IND,506543
ORIENT.CARB.,506579
PCBL,506590
AMAL PRODUCT,506597
POLYCHEM,506605
PUN.CHEM,506618
GUJCHEM DIST,506640
SADHANA NITR,506642
SUDARSH.CHEM,506655
TECIL CHEM.,506680
ULTRAMARINE,506685
TRANSPEK,506687
UNICHEM LAB,506690
MYS PETRO,506734
ALKYL AMINES,506767
TUTIALKA,506808
ASTRAZEN.PH.,506820
PRIMO,506852
TANFAC IND.,506854
GUJ.PETRO,506858
GUJ.THEMIS.,506879
SCBL,506906
JAYSN DYEST,506910
MAKERS LAB.,506919
CONT.CHEM,506935
J.B.CHEMICAL,506943
ADV.PETROCH.,506947
APT PACK,506979
BL.CHIP TEX,506981
JAGATJIT IND,507155
KESAR ENT.,507180
TILAKNAG IND,507205
RAVALGAON,507300
SAKTHI SUGAR,507315
WALCHANDNGR,507410
IFB AGRO,507438
KOTHARI FERM,507474
CAPROLA.CHEM,507486
G.M.BREWERI,507488
RANA SUGARS,507490
PICCADILY SU,507498
SOM DISTILL.,507514
CJ GELATIN,507515
ASSO.ALCOHOL,507526
FOODS & INNS,507552
IVP LIMITED,507580
KLRFM,507598
MILKFOOD,507621
POLSON LTD.,507645
WIPRO LTD.,507685
ORIENT BEVER,507690
DHAN AGRI,507717
TTK HEALTHCA,507747
TGVSL,507753
LIME CHEM.,507759
KANPUR PLAST,507779
TAINWALA CH.,507785
JAGSON PHAR,507789
KHAITAN CHEM,507794
NATI. OXYGEN,507813
GILLETTE (I),507815
WIRES FABRIK,507817
ANSALHSG,507828
COMPUTER PNT,507833
MAC CHARLES,507836
ADDI IND.,507852
PION INVEST,507864
ASHNOOR TEX.,507872
UNITECH LTD,507878
VIP INDUS.,507880
FIBERWB IN,507910
LKP FIN,507912
BAJAJ STEEL,507944
KIDUJA INDIA,507946
KEY CORP.LTD,507948
GUJ.HOTELS,507960
RAS RESORTS,507966
PARA. COSMET,507970
JINDAL HOTL,507981
SIMMONDS-MAR,507998
BNALTD,508136
HAWKINS COOK,508486
WARREN TEA,508494
COCHIN MALA,508571
BEST E.HOTEL,508664
NEELAMALAI,508670
IST LTD.,508807
COSMOFIRST,508814
APOLLO HOSP.,508869
NITINCAST,508875
SMIFS CAPITA,508905
EVEREST INDS,508906
IRONWOOD,508918
MSR INDIA,508922
AYMSYNTEX,508933
PANASON CAR,508941
FINKURVE,508954
HB LEAS.PUB,508956
SULABH ENG.,508969
FRONTCAP,508980
NAVNETEDUL,508989
SATPROP LTD,508996
AUSOM ENT,509009
RUCHI INFRA.,509020
VJTFEDU,509026
NETLINK SOLU,509040
LANCOR HOLDS,509048
INDIAN INFO.,509051
BANAS FIN.,509053
VISAKA IND.,509055
INFOMEDIA,509069
HATHWAY BHAW,509073
GUFIC BIO SC,509079
PHOTON CAP,509084
GRPLTD,509152
INDAG RUBBER,509162
M.M.RUBBER,509196
PTL LTD,509220
TVS SRICHAKR,509243
SEL,509423
BENARES HOT,509438
BHAGWATI OXY,509449
BOMOXY-B1,509470
CRAVATEX,509472
BERGE PAINT,509480
CAPRIHANS,509486
GRAPHITE IN.,509488
ITDCEM,509496
EMPIRE IND.,509525
GRAVISS HOSP,509546
GARFIBRES,509557
GARWA.MARINE,509563
GOA CARBON,509567
HARDCASTLE,509597
HEG LIMITED,509631
HIND.COMPOSI,509635
HIL,509675
IND.CARD,509692
INT.CONVEYOR,509709
JAYSHRE TEA,509715
MODERN SHARE,509760
HUHTAMAKI,509820
PREMIER SYN.,509835
SHALIMAR PAI,509874
SINNAR BIDI,509887
HIND MILLS,509895
SUPREM IND,509930
THACKER,509945
U.P.HOTELS,509960
VST INDUS.,509966
SWASTI VINAY,510245
MADHUS.SEC,511000
YAMINI INVES,511012
PREMIER CAP.,511016
MILGREY FIN,511018
JINDAL DRILL,511034
SAKTHI FIN.,511066
SAT IND LTD,511076
JMDVL,511092
SHIVA TEXYAM,511108
V.B.DESAI,511110
QUADRANT,511116
FIRST CUSTO.,511122
KAMAN HSG,511131
WSFX,511147
ANJANIFOODS,511153
PARSHWANA,511176
MILLENNIUM,511187
I.C.D.S.,511194
CANFIN HOMES,511196
IL & FS INVE,511208
SHRIRAM TRAN,511218
CHOLAFIN,511243
VLS FINANCE,511333
IND CEM CAP,511355
AD-MANUM FIN,511359
INTER GLOB F,511391
MCLTD,511401
SHRISTINFRA,511411
CREST,511413
VAKRANGEE,511431
GUJ.CREDIT,511441
SYLPH TECH,511447
DHARANI FIN.,511451
ALEXANDER,511463
IND.BANK MER,511473
SHRYDUS,511493
BHARAT BHUSH,511501
CAPITAL TRUS,511505
USHAKIRAN FI,511507
VIVO BIO TEC,511509
VEERHEALTH,511523
PAN INDIA C,511525
SAHARA HOUSG,511533
NDA SECURIT.,511535
GSB FINANCE,511543
MORARKA FIN.,511549
MONARCH,511551
PRO FIN CAP.,511557
TIMES GUARAN,511559
SANCHAY FIN.,511563
SOMDATT FIN,511571
REGENCY TRUS,511585
AVONMORE,511589
LIBORD FIN,511593
YASH MANAGE.,511601
ARIHANT CAP.,511605
ISL CONSULT,511609
DCM FINANCIA,511611
R R FINANCE.,511626
IMCAP,511628
SAMBHAAV MED,511630
OMEGA INTERA,511644
SUGAL DAM,511654
NETTLINX LTD,511658
SCANSTL,511672
GIC HOUSING,511676
MATHEW EASOW,511688
AJCON GLOBAL,511692
CHARTERED CA,511696
STD.CAP.MRKT,511700
YOGI,511702
CUBICAL FIN.,511710
NIMBSPROJ,511714
BAIDFIN,511724
VIPUL LTD,511726
USHDEV INTNL,511736
UGROCAP,511742
SHALIB.FINAN,511754
ABIRAMI FIN.,511756
SEVENHILL,511760
AASTAFIN,511764
MUTHOOT CAP,511766
MASTER TRUST,511768
EFCIL,512008
CNI RES LTD,512018
SARASW.COMM.,512020
N.D.METAL,512024
KAPIL COTEX,512036
ROYAL IND,512047
LUHARUKA,512048
VISVEN,512064
DECCANGOLD,512068
UPL,512070
CRANES SOFTW,512093
SAICOM,512097
SIGNET IND,512131
ADVANCE TECH,512149
SECURKLOUD,512161
ABANSENT,512165
VAMA INDS,512175
SUNTECK REAL,512179
STEPHANOTIS,512215
PRISM MEDI,512217
VERITAS,512229
JAI CORP LTD,512237
ASHIRWAD CAP,512247
SVARTCORP,512257
MEDIA MATRIX,512267
NNTL,512279
BHAGYA INL,512296
SHANTAI,512297
CHAMBAL BREW,512301
SGMART,512329
ARAVALI SEC.,512344
CRESSANDA SO,512379
STARTECK,512381
SHARDUL SECU,512393
SERA,512399
NIRAV COMMER,512425
APOLLO FIN I,512437
ENBEE TRADG.,512441
GANONPRO,512443
SHRI JAGDAMB,512453
LLOYDS MET E,512455
LLOYDSENT,512463
BETEX INDIA,512477
POLYTEX(P),512481
DHANAL.COTEX,512485
OASIS SECUR.,512489
GARNET INTL,512493
SHALIMAR PRO,512499
DONEAR IND.,512519
SUPER SAL IN,512527
SEQUENT,512529
STC INDIA,512531
ZENITH EXP.,512553
KOHINORFOODS,512559
NEELKANTH,512565
AVANTI FEEDS,512573
ZODIAC JRD,512587
SITA ENTER.,512589
PULSAR INTL.,512591
UNIMODE OVER,512595
KEYFINSER,512597
ADANI ENTER,512599
HARIA EXPORT,512604
BHANDARI HOS,512608
RLF LIMITED.,512618
REGENTRP,512624
ORBIT EXPORT,512626
SAVERA IND,512634
VBC FERRO,513005
TATASTLLP,513010
NAVA,513023
REMI EDEL,513043
G.S.AUTO INT,513059
TRANSFREIGHT,513063
SHIV.BIMETAL,513097
GANDHI SP.TU,513108
AMFORGE IND.,513117
ABC GAS INT,513119
ORICON ENT,513121
ACROW INDIA,513149
STL STR INF,513173
PENNAR STEEL,513228
JYOTI STRUCT,513250
JAY USHIN,513252
ST.STR.WHEEL,513262
MAN IND.(I),513269
MODERN STEEL,513303
SYNTHIKO FOI,513307
GOLKONDA,513309
GUJ.TOOLROOM,513337
AJMERA,513349
COCHIN MIN.,513353
ISW LTD,513361
KVFORGE,513369
CARBORUNDUM,513375
MINERAL&METL,513377
VALLABH STEL,513397
ASHIANA ISP.,513401
PM TELELINN,513403
SMFIL,513418
BLOOM INDUST,513422
MAITRI,513430
TATA METALIK,513434
SHAH ALLOYS,513436
ELANGO INDUS,513452
KANISHK ST.,513456
MAHALAXMI SM,513460
SIMPLEX CAST,513472
SH.STEEL WIR,513488
SOUTH.MAGNES,513498
BARODA EXTR.,513502
GUJ.CONTAIN.,513507
KALYANI FORG,513509
PANCH.STEEL,513511
ADITYA ISPAT,513513
S.R.INDUS.,513515
STEELCAST,513517
PITTIENG,513519
GLITTEK GRAN,513528
PRADEEP MET.,513532
GNRL,513536
SHARDA ISPAT,513548
MAHA STEEL,513554
NOVA IRON&ST,513566
STERPOW,513575
HIND.COPPER,513599
TULSYAN NEC,513629
AXEL POLYMER,513642
NLCINDIA,513683
SPECTRA IND.,513687
KIC METALIKS,513693
SOLID STONE,513699
SHILP GRAVUR,513709
WHITEORG,513713
HGIND,513723
ARO GRANITE,513729
HIM.FIBRES,514010
RAJKAMAL SYN,514028
DEEPAK SPINN,514030
LOY.TEX MILL,514036
HIMAT.SEIDE,514043
BSL LTD.,514045
PBM POLYTEX,514087
ADHINATH TEX,514113
SURYALATA SP,514138
SURYAVA SPIN,514140
TT LTD.,514142
WELSPUN (I),514162
IND.ACRYLICS,514165
GANESH ECOSP,514167
CEETA IND.,514171
VARDHMAN POL,514175
BLACKROSE,514183
ST CORP,514197
BINNY LTD.,514215
RAMGOPAL POL,514223
SANGAM INDIA,514234
MKVENTURES,514238
KUSHIND,514240
SREECHEM RES,514248
SEASONS TEXT,514264
ZENITH FIBRE,514266
BHILWARA SP.,514272
AARVEE DENIM,514274
SANRHEA TECH,514280
ASHIMA LTD.,514286
PIONEER EMB,514300
VIPPY SPIN.,514302
JAY HIND SYN,514312
RAGHUVIR SYN,514316
JATTAINDUS,514318
KAMADGIRI,514322
PATSPIN INDI,514326
ONEGLOBAL,514330
NEOINFRA,514332
WINSOME YRN,514348
PREMIER POLY,514354
EVERFIN,514358
KRRAIL,514360
YARN SYNDICA,514378
GUJ COTEX,514386
GARWARE SYN.,514400
MANORG,514418
HINDU.ADHESI,514428
SRI KPR IND,514442
JYOTI RESINS,514448
MAHA.RUBTECH,514450
SOUTH.LATEX,514454
WIMSOME TEXT,514470
MOD.INSUL.,515008
REG.CERAMIC,515018
ASAHI IN.GLA,515030
MURD.CERAM,515037
SAINT-GOBAIN,515043
ANANTRAJ,515055
MADHUS.IND.,515059
RESTILE CER.,515085
MADHAV MARB.,515093
RAMASIGNS,515127
HALDYN GLASS,515147
DUROPLY,516003
SHREYANS IND,516016
AGIO PAPER,516020
STAR PAPER,516022
PAKKA,516030
ARROWGREEN,516064
VISHNU CHEM,516072
JUMBO BAG,516078
N.R.AGARWAL,516082
3PLAND,516092
SH.KARTHIK P,516106
S.I.PAPER,516108
FAMILYCARE,516110
VINDHYA TELE,517015
RIR,517035
ADORWELDING,517041
INT.DATA MAN,517044
SALZER ELEC,517059
JETINFOTRAN,517063
APLAB LTD.,517096
PCS TECH,517119
USHA MART.LT,517146
SPEL SEMICON,517166
SUBROS LTD.,517168
EDVENSWA,517170
HONEYWELL,517174
SWITCH.TECH.,517201
LUMAX IND,517206
DIGISPICE,517214
CALCOM VISIO,517236
DYNAVISION,517238
BCC FUBA,517246
PRECISION EL,517258
FINELINE CI,517264
HBL P SYS,517271
S&S POWER SW,517273
GUJARATPOLY,517288
GUJ.IND.POW.,517300
MOTHERSON,517334
MINDTECK (I),517344
HAVELLSINDIA,517354
ACI INFOCOM,517356
SBEC SYSTEMS,517360
